"","Species","Min.Bio1","Average.Bio1","Max.Bio1","Min.Bio12","Average.Bio12","Max.Bio12","Number.of.coordinates"
"1","Botryosphaeria dothidea",1.1,15.8,28.1,112,832.3,2240,126
"2","Diplodia corticola",8.6,15.4,20.9,505,836.3,1324,18
"3","Diplodia mutila",2,14.6,19.7,205,761.9,2038,27
"4","Diplodia sapinea",4.8,12.6,26.8,154,833.3,2587,40
"5","Diplodia seriata",2,15.4,26.8,154,638.2,1519,78
"6","Dothiorella iberica",11.3,15,18.2,205,661.3,1126,20
"7","Dothiorella sarmentorum",9.1,14.3,18.4,303,589.7,1126,13
"8","Dothiorella viticola",13.6,16.6,19.1,285,514.8,790,9
"9","Lasiodiplodia brasiliense",21.5,24.8,28.6,332,1138.5,2529,10
"10","Lasiodiplodia iraniensis",17.2,23.5,29.6,148,757.4,1653,14
"11","Lasiodiplodia pseudotheobromae",16,23.8,28.6,148,1158.8,2529,52
"12","Lasiodiplodia theobromae",12.5,22.8,29.9,89,1261.6,3699,119
"13","Macrophomina phaseolina",7.7,21.9,29.3,236,835.4,1555,41
"14","Neofusicoccum australe",12.8,16.1,19.2,112,726.6,1150,22
"15","Neofusicoccum eucalyptorum",12.8,16.2,18.6,596,933.1,1391,9
"16","Neofusicoccum luteum",14.7,18.5,24.6,286,852.2,1968,23
"17","Neofusicoccum mangiferae",15.6,21.6,26.9,765,1274.3,2028,9
"18","Neofusicoccum mediterraneum",6.6,17,21.5,82,544.2,1021,19
"19","Neofusicoccum parvum",11.3,18.2,26.7,141,951.4,3093,120
"20","Neoscytalidium dimidiatum",15.7,22.2,27.5,83,802.1,2426,17
